[Current] DELIVERY - Takes(s): 8.7, Count: 16, TPM: 110.9, Sum(ms): 4468.3, Avg(ms): 280.0, 50th(ms): 268.4, 90th(ms): 285.2, 95th(ms): 369.1, 99th(ms): 469.8, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] NEW_ORDER - Takes(s): 9.9, Count: 185, TPM: 1121.3, Sum(ms): 18200.9, Avg(ms): 98.6, 50th(ms): 75.5, 90th(ms): 113.2, 95th(ms): 226.5, 99th(ms): 704.6, 99.9th(ms): 771.8, Max(ms): 771.8
[Current] ORDER_STATUS - Takes(s): 9.2, Count: 20, TPM: 130.0, Sum(ms): 76.3, Avg(ms): 3.9, 50th(ms): 3.7, 90th(ms): 5.8, 95th(ms): 5.8, 99th(ms): 10.5, 99.9th(ms): 10.5, Max(ms): 10.5
[Current] PAYMENT - Takes(s): 9.8, Count: 189, TPM: 1152.5, Sum(ms): 16920.1, Avg(ms): 89.5, 50th(ms): 71.3, 90th(ms): 151.0, 95th(ms): 201.3, 99th(ms): 302.0, 99.9th(ms): 805.3, Max(ms): 805.3
[Current] STOCK_LEVEL - Takes(s): 8.7, Count: 16, TPM: 110.6, Sum(ms): 131.3, Avg(ms): 8.2, 50th(ms): 7.3, 90th(ms): 11.0, 95th(ms): 12.1, 99th(ms): 16.3, 99.9th(ms): 16.3, Max(ms): 16.3
[Current] DELIVERY - Takes(s): 9.4, Count: 19, TPM: 120.8, Sum(ms): 5917.0, Avg(ms): 311.7, 50th(ms): 260.0, 90th(ms): 486.5, 95th(ms): 637.5, 99th(ms): 738.2, 99.9th(ms): 738.2, Max(ms): 738.2
[Current] NEW_ORDER - Takes(s): 10.0, Count: 207, TPM: 1247.4, Sum(ms): 18602.3, Avg(ms): 89.8, 50th(ms): 79.7, 90th(ms): 104.9, 95th(ms): 134.2, 99th(ms): 520.1, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] ORDER_STATUS - Takes(s): 9.3, Count: 21, TPM: 135.8, Sum(ms): 75.3, Avg(ms): 3.5, 50th(ms): 3.1, 90th(ms): 5.2, 95th(ms): 5.8, 99th(ms): 10.5, 99.9th(ms): 10.5, Max(ms): 10.5
[Current] PAYMENT - Takes(s): 10.0, Count: 187, TPM: 1124.7, Sum(ms): 15335.4, Avg(ms): 81.9, 50th(ms): 71.3, 90th(ms): 96.5, 95th(ms): 134.2, 99th(ms): 243.3, 99.9th(ms): 520.1, Max(ms): 520.1
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 14, TPM: 89.7, Sum(ms): 82.7, Avg(ms): 6.0, 50th(ms): 6.3, 90th(ms): 7.9, 95th(ms): 7.9, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.7, Count: 18, TPM: 111.3, Sum(ms): 5220.6, Avg(ms): 291.3, 50th(ms): 285.2, 90th(ms): 402.7, 95th(ms): 419.4, 99th(ms): 436.2, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] NEW_ORDER - Takes(s): 9.9, Count: 184, TPM: 1109.6, Sum(ms): 15951.7, Avg(ms): 86.7, 50th(ms): 75.5, 90th(ms): 142.6, 95th(ms): 176.2, 99th(ms): 226.5, 99.9th(ms): 251.7, Max(ms): 251.7
[Current] ORDER_STATUS - Takes(s): 9.2, Count: 15, TPM: 97.5, Sum(ms): 42.3, Avg(ms): 2.9, 50th(ms): 2.6, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 10.0, Count: 208, TPM: 1254.3, Sum(ms): 18620.1, Avg(ms): 89.3, 50th(ms): 71.3, 90th(ms): 151.0, 95th(ms): 192.9, 99th(ms): 285.2, 99.9th(ms): 503.3, Max(ms): 503.3
[Current] STOCK_LEVEL - Takes(s): 8.3, Count: 14, TPM: 101.1, Sum(ms): 75.8, Avg(ms): 5.4, 50th(ms): 5.2, 90th(ms): 6.8, 95th(ms): 6.8, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] DELIVERY - Takes(s): 9.3, Count: 17, TPM: 109.3, Sum(ms): 4663.9, Avg(ms): 274.6, 50th(ms): 260.0, 90th(ms): 352.3, 95th(ms): 369.1, 99th(ms): 385.9, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 226, TPM: 1357.5, Sum(ms): 19472.5, Avg(ms): 86.0, 50th(ms): 79.7, 90th(ms): 100.7, 95th(ms): 167.8, 99th(ms): 318.8, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 9.1, Count: 14, TPM: 92.4, Sum(ms): 40.9, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 10.0, Count: 194, TPM: 1168.5, Sum(ms): 15694.0, Avg(ms): 80.8, 50th(ms): 75.5, 90th(ms): 109.1, 95th(ms): 142.6, 99th(ms): 260.0, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 9.4, Count: 24, TPM: 153.8, Sum(ms): 136.2, Avg(ms): 5.7, 50th(ms): 5.2, 90th(ms): 8.4, 95th(ms): 9.4, 99th(ms): 9.4, 99.9th(ms): 9.4, Max(ms): 9.4
[Current] DELIVERY - Takes(s): 9.2, Count: 8, TPM: 52.0, Sum(ms): 2152.3, Avg(ms): 265.8, 50th(ms): 260.0, 90th(ms): 285.2, 95th(ms): 302.0, 99th(ms): 302.0, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 209, TPM: 1257.5, Sum(ms): 18499.8, Avg(ms): 88.4, 50th(ms): 75.5, 90th(ms): 142.6, 95th(ms): 176.2, 99th(ms): 260.0, 99.9th(ms): 436.2, Max(ms): 436.2
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 23, TPM: 147.4, Sum(ms): 71.7, Avg(ms): 3.1, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.7, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] PAYMENT - Takes(s): 9.9, Count: 202, TPM: 1219.7, Sum(ms): 18459.8, Avg(ms): 91.3, 50th(ms): 75.5, 90th(ms): 159.4, 95th(ms): 218.1, 99th(ms): 385.9, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] STOCK_LEVEL - Takes(s): 8.6, Count: 15, TPM: 104.7, Sum(ms): 84.3, Avg(ms): 5.6, 50th(ms): 5.2, 90th(ms): 8.9, 95th(ms): 8.9, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.8, Count: 15, TPM: 91.5, Sum(ms): 5065.6, Avg(ms): 338.1, 50th(ms): 285.2, 90th(ms): 536.9, 95th(ms): 536.9, 99th(ms): 570.4, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] NEW_ORDER - Takes(s): 9.9, Count: 184, TPM: 1119.0, Sum(ms): 18519.8, Avg(ms): 100.5, 50th(ms): 79.7, 90th(ms): 218.1, 95th(ms): 251.7, 99th(ms): 318.8, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] ORDER_STATUS - Takes(s): 9.7, Count: 17, TPM: 105.6, Sum(ms): 57.1, Avg(ms): 3.3, 50th(ms): 3.7, 90th(ms): 4.7, 95th(ms): 5.2, 99th(ms): 5.8, 99.9th(ms): 5.8, Max(ms): 5.8
[Current] PAYMENT - Takes(s): 9.7, Count: 187, TPM: 1158.2, Sum(ms): 16849.2, Avg(ms): 90.0, 50th(ms): 75.5, 90th(ms): 159.4, 95th(ms): 201.3, 99th(ms): 285.2, 99.9th(ms): 335.5, Max(ms): 335.5
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 13, TPM: 79.1, Sum(ms): 84.5, Avg(ms): 6.6, 50th(ms): 5.8, 90th(ms): 10.0, 95th(ms): 10.0, 99th(ms): 12.1, 99.9th(ms): 12.1, Max(ms): 12.1
[Current] DELIVERY - Takes(s): 8.4, Count: 20, TPM: 142.5, Sum(ms): 6074.7, Avg(ms): 305.3, 50th(ms): 285.2, 90th(ms): 419.4, 95th(ms): 469.8, 99th(ms): 503.3, 99.9th(ms): 503.3, Max(ms): 503.3
[Current] NEW_ORDER - Takes(s): 10.0, Count: 205, TPM: 1231.6, Sum(ms): 18600.5, Avg(ms): 90.9, 50th(ms): 75.5, 90th(ms): 104.9, 95th(ms): 184.5, 99th(ms): 503.3, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 20, TPM: 122.9, Sum(ms): 58.0, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 168, TPM: 1009.3, Sum(ms): 15160.4, Avg(ms): 90.5, 50th(ms): 75.5, 90th(ms): 92.3, 95th(ms): 209.7, 99th(ms): 520.1, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] STOCK_LEVEL - Takes(s): 8.9, Count: 18, TPM: 120.7, Sum(ms): 98.9, Avg(ms): 5.5, 50th(ms): 5.2, 90th(ms): 6.3, 95th(ms): 8.4, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.4, Count: 14, TPM: 89.7, Sum(ms): 3921.1, Avg(ms): 279.5, 50th(ms): 260.0, 90th(ms): 268.4, 95th(ms): 268.4, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 210, TPM: 1263.1, Sum(ms): 18263.9, Avg(ms): 87.1, 50th(ms): 75.5, 90th(ms): 92.3, 95th(ms): 151.0, 99th(ms): 453.0, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 19, TPM: 116.4, Sum(ms): 59.0, Avg(ms): 3.1, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 5.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 10.0, Count: 199, TPM: 1195.1, Sum(ms): 17324.9, Avg(ms): 87.0, 50th(ms): 75.5, 90th(ms): 104.9, 95th(ms): 184.5, 99th(ms): 335.5, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] STOCK_LEVEL - Takes(s): 9.3, Count: 16, TPM: 103.1, Sum(ms): 161.1, Avg(ms): 10.1, 50th(ms): 5.2, 90th(ms): 5.8, 95th(ms): 5.8, 99th(ms): 88.1, 99.9th(ms): 88.1, Max(ms): 88.1
[Current] DELIVERY - Takes(s): 10.0, Count: 17, TPM: 102.4, Sum(ms): 5364.6, Avg(ms): 316.1, 50th(ms): 285.2, 90th(ms): 352.3, 95th(ms): 453.0, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 199, TPM: 1194.6, Sum(ms): 17347.7, Avg(ms): 87.2, 50th(ms): 75.5, 90th(ms): 125.8, 95th(ms): 176.2, 99th(ms): 260.0, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 9.8, Count: 14, TPM: 85.7, Sum(ms): 41.9, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 5.8, 99.9th(ms): 5.8, Max(ms): 5.8
[Current] PAYMENT - Takes(s): 9.9, Count: 187, TPM: 1128.2, Sum(ms): 17307.5, Avg(ms): 92.6, 50th(ms): 75.5, 90th(ms): 151.0, 95th(ms): 243.3, 99th(ms): 335.5, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] STOCK_LEVEL - Takes(s): 9.7, Count: 11, TPM: 68.3, Sum(ms): 53.6, Avg(ms): 4.8, 50th(ms): 5.2, 90th(ms): 5.8, 95th(ms): 5.8, 99th(ms): 6.3, 99.9th(ms): 6.3, Max(ms): 6.3
[Current] DELIVERY - Takes(s): 9.7, Count: 15, TPM: 92.5, Sum(ms): 4870.8, Avg(ms): 327.7, 50th(ms): 285.2, 90th(ms): 419.4, 95th(ms): 419.4, 99th(ms): 872.4, 99.9th(ms): 872.4, Max(ms): 872.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 202, TPM: 1215.2, Sum(ms): 17456.0, Avg(ms): 86.2, 50th(ms): 75.5, 90th(ms): 113.2, 95th(ms): 184.5, 99th(ms): 260.0, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 23, TPM: 143.6, Sum(ms): 67.1, Avg(ms): 3.0, 50th(ms): 2.6, 90th(ms): 5.2, 95th(ms): 5.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 10.0, Count: 213, TPM: 1280.0, Sum(ms): 17559.5, Avg(ms): 82.4, 50th(ms): 75.5, 90th(ms): 100.7, 95th(ms): 142.6, 99th(ms): 318.8, 99.9th(ms): 318.8, Max(ms): 318.8
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 24, TPM: 144.5, Sum(ms): 128.0, Avg(ms): 5.3, 50th(ms): 5.2, 90th(ms): 8.4, 95th(ms): 8.4, 99th(ms): 8.4, 99.9th(ms): 8.4, Max(ms): 8.4
[Current] DELIVERY - Takes(s): 9.1, Count: 16, TPM: 105.9, Sum(ms): 6736.0, Avg(ms): 426.8, 50th(ms): 302.0, 90th(ms): 536.9, 95th(ms): 1140.9, 99th(ms): 1140.9, 99.9th(ms): 1140.9, Max(ms): 1140.9
[Current] NEW_ORDER - Takes(s): 10.0, Count: 198, TPM: 1192.1, Sum(ms): 18795.5, Avg(ms): 94.9, 50th(ms): 75.5, 90th(ms): 134.2, 95th(ms): 218.1, 99th(ms): 335.5, 99.9th(ms): 671.1, Max(ms): 671.1
[Current] ORDER_STATUS - Takes(s): 10.0, Count: 19, TPM: 114.0, Sum(ms): 56.9, Avg(ms): 3.0, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 6.8, 99.9th(ms): 6.8, Max(ms): 6.8
[Current] PAYMENT - Takes(s): 10.0, Count: 183, TPM: 1100.3, Sum(ms): 14269.2, Avg(ms): 78.0, 50th(ms): 71.3, 90th(ms): 92.3, 95th(ms): 142.6, 99th(ms): 226.5, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] STOCK_LEVEL - Takes(s): 10.0, Count: 23, TPM: 138.6, Sum(ms): 115.8, Avg(ms): 5.0, 50th(ms): 5.2, 90th(ms): 5.8, 95th(ms): 5.8, 99th(ms): 7.9, 99.9th(ms): 7.9, Max(ms): 7.9
[Current] DELIVERY - Takes(s): 9.5, Count: 18, TPM: 114.1, Sum(ms): 5197.4, Avg(ms): 288.5, 50th(ms): 260.0, 90th(ms): 419.4, 95th(ms): 436.2, 99th(ms): 453.0, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] NEW_ORDER - Takes(s): 10.0, Count: 193, TPM: 1159.3, Sum(ms): 16816.2, Avg(ms): 87.3, 50th(ms): 75.5, 90th(ms): 130.0, 95th(ms): 184.5, 99th(ms): 285.2, 99.9th(ms): 385.9, Max(ms): 385.9
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 17, TPM: 102.7, Sum(ms): 50.2, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 5.8, 99.9th(ms): 5.8, Max(ms): 5.8
[Current] PAYMENT - Takes(s): 9.9, Count: 215, TPM: 1297.0, Sum(ms): 17770.1, Avg(ms): 82.8, 50th(ms): 75.5, 90th(ms): 109.1, 95th(ms): 184.5, 99th(ms): 268.4, 99.9th(ms): 285.2, Max(ms): 285.2
