[Current] DELIVERY - Takes(s): 9.7, Count: 21, TPM: 129.7, Sum(ms): 6425.3, Avg(ms): 306.4, 50th(ms): 260.0, 90th(ms): 453.0, 95th(ms): 469.8, 99th(ms): 604.0, 99.9th(ms): 604.0, Max(ms): 604.0
[Current] NEW_ORDER - Takes(s): 9.9, Count: 198, TPM: 1203.1, Sum(ms): 18361.2, Avg(ms): 92.5, 50th(ms): 75.5, 90th(ms): 142.6, 95th(ms): 218.1, 99th(ms): 302.0, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] ORDER_STATUS - Takes(s): 9.4, Count: 13, TPM: 82.9, Sum(ms): 38.3, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 4.2, 95th(ms): 4.2, 99th(ms): 5.2, 99.9th(ms): 5.2, Max(ms): 5.2
[Current] PAYMENT - Takes(s): 9.9, Count: 174, TPM: 1052.9, Sum(ms): 14819.2, Avg(ms): 85.2, 50th(ms): 75.5, 90th(ms): 104.9, 95th(ms): 218.1, 99th(ms): 302.0, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] STOCK_LEVEL - Takes(s): 7.4, Count: 8, TPM: 64.6, Sum(ms): 82.9, Avg(ms): 10.3, 50th(ms): 11.0, 90th(ms): 12.1, 95th(ms): 13.1, 99th(ms): 13.1, 99.9th(ms): 13.1, Max(ms): 13.1
[Current] DELIVERY - Takes(s): 9.6, Count: 21, TPM: 131.0, Sum(ms): 6582.6, Avg(ms): 313.6, 50th(ms): 268.4, 90th(ms): 570.4, 95th(ms): 604.0, 99th(ms): 637.5, 99.9th(ms): 637.5, Max(ms): 637.5
[Current] NEW_ORDER - Takes(s): 10.0, Count: 193, TPM: 1159.4, Sum(ms): 15790.7, Avg(ms): 81.8, 50th(ms): 75.5, 90th(ms): 92.3, 95th(ms): 151.0, 99th(ms): 268.4, 99.9th(ms): 402.7, Max(ms): 402.7
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 15, TPM: 91.3, Sum(ms): 41.1, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 3.7, 99.9th(ms): 3.7, Max(ms): 3.7
[Current] PAYMENT - Takes(s): 9.9, Count: 199, TPM: 1202.1, Sum(ms): 17313.0, Avg(ms): 87.1, 50th(ms): 71.3, 90th(ms): 151.0, 95th(ms): 226.5, 99th(ms): 285.2, 99.9th(ms): 453.0, Max(ms): 453.0
[Current] STOCK_LEVEL - Takes(s): 9.9, Count: 18, TPM: 108.7, Sum(ms): 127.3, Avg(ms): 7.0, 50th(ms): 6.3, 90th(ms): 8.4, 95th(ms): 10.5, 99th(ms): 21.0, 99.9th(ms): 21.0, Max(ms): 21.0
[Current] DELIVERY - Takes(s): 9.9, Count: 14, TPM: 84.8, Sum(ms): 4775.7, Avg(ms): 339.7, 50th(ms): 318.8, 90th(ms): 453.0, 95th(ms): 453.0, 99th(ms): 570.4, 99.9th(ms): 570.4, Max(ms): 570.4
[Current] NEW_ORDER - Takes(s): 10.0, Count: 201, TPM: 1206.8, Sum(ms): 17724.6, Avg(ms): 88.3, 50th(ms): 75.5, 90th(ms): 159.4, 95th(ms): 192.9, 99th(ms): 243.3, 99.9th(ms): 260.0, Max(ms): 260.0
[Current] ORDER_STATUS - Takes(s): 9.9, Count: 20, TPM: 121.2, Sum(ms): 58.0, Avg(ms): 2.9, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 4.2, 99th(ms): 4.7, 99.9th(ms): 4.7, Max(ms): 4.7
[Current] PAYMENT - Takes(s): 10.0, Count: 202, TPM: 1215.1, Sum(ms): 17496.5, Avg(ms): 86.6, 50th(ms): 75.5, 90th(ms): 130.0, 95th(ms): 184.5, 99th(ms): 268.4, 99.9th(ms): 302.0, Max(ms): 302.0
[Current] STOCK_LEVEL - Takes(s): 8.9, Count: 18, TPM: 121.9, Sum(ms): 96.0, Avg(ms): 5.4, 50th(ms): 5.2, 90th(ms): 5.8, 95th(ms): 6.3, 99th(ms): 8.9, 99.9th(ms): 8.9, Max(ms): 8.9
[Current] DELIVERY - Takes(s): 9.7, Count: 25, TPM: 154.9, Sum(ms): 7359.7, Avg(ms): 293.8, 50th(ms): 260.0, 90th(ms): 436.2, 95th(ms): 453.0, 99th(ms): 469.8, 99.9th(ms): 469.8, Max(ms): 469.8
[Current] NEW_ORDER - Takes(s): 10.0, Count: 228, TPM: 1371.7, Sum(ms): 18481.2, Avg(ms): 81.1, 50th(ms): 75.5, 90th(ms): 92.3, 95th(ms): 142.6, 99th(ms): 226.5, 99.9th(ms): 285.2, Max(ms): 285.2
[Current] ORDER_STATUS - Takes(s): 9.6, Count: 24, TPM: 149.3, Sum(ms): 65.1, Avg(ms): 2.7, 50th(ms): 3.1, 90th(ms): 3.7, 95th(ms): 3.7, 99th(ms): 4.2, 99.9th(ms): 4.2, Max(ms): 4.2
[Current] PAYMENT - Takes(s): 10.0, Count: 165, TPM: 992.7, Sum(ms): 13838.1, Avg(ms): 83.9, 50th(ms): 71.3, 90th(ms): 130.0, 95th(ms): 226.5, 99th(ms): 285.2, 99.9th(ms): 352.3, Max(ms): 352.3
